good,count,,bad,count,,Unsuccessful,,"Outliers (listed as ""bad"" but excluded from first calculations)",
AM-1,2740,,AM-3,3664,,AM-19,,AM-18,8
AM-2,2763,,AM-4,3428,,AM-21,,AM-12,672
AM-22,3169,,AM-5,3486,,AM-28,,AM-13,218
AM-24,3766,,AM-6,3516,,,,,
AM-25,2763,,AM-16,2697,,,,,
AM-26,3564,,AM-7,3486,,,,,
AM-27,3744,,AM-8,2709,,,,,
AM-29,3088,,AM-9,2703,,,,,
AM-30,2846,,AM-10,2680,,,,,
WWF-1,3827,,AM-11,2730,,,,,
WWF-3,3805,,AM-14,3485,,,,,
WWF-4,3724,,AM-15,2723,,,,,
WWF-5,2921,,AM-17,2776,,,,,
,,,AM-20,2571,,,,,
,,,AM-23,3624,,,,,
,,,WWF-2,3778,,,,,
,,,* Some of these may be incorrect.,,,,,,
Metrics,,,Metrics without Outliers,,,,,,
Mean,3286,,Mean,3129,,,,,
Std_dev,456,,Std_dev,453,,,,,
Min,2740,,Min,2571,,,,,
Q1,2805,,Q1,2706,,,,,
Median,3169,,Median,3102,,,,,
Q3,3755,,Q3,3501,,,,,
Max,3827,,Max,3778,,,,,
,,,,,,,,,
,,,Metrics with Outliers,,,,,,
,,,Mean,2682,,,,,
,,,Std_dev,1143,,,,,
,,,Min,8,,,,,
,,,Q1,2680,,,,,
,,,Median,2730,,,,,
,,,Q3,3486,,,,,
,,,Max,3778,,,,,